valorv	expos	tipov	idadev	sexoc	areac	idadec	nsinis	csinis
1.23	0.295687885	HBACK	2	F	D	2	1	18122.359985
1.79	0.3997262149	UTE	2	F	C	4	1	552.52999878
2.299	0.8405201916	SEDAN	1	F	F	4	2	1157.8499999
2.105	0.4407939767	UTE	1	M	B	1	1	7709.7399902
3.35	0.8377823409	STNWG	2	M	B	3	2	1511.9799991
1.87	0.8651608487	SEDAN	2	F	A	3	1	279.98999786
0.83	0.6324435318	SEDAN	3	F	A	2	1	200
1.22	0.0301163587	SEDAN	3	F	B	5	1	721.14999962
3.52	0.4818617385	STNWG	2	M	A	4	1	1852.7799988
1.96	0.8651608487	STNWG	3	F	A	1	1	2745
1.68	0.5338809035	STNWG	3	M	B	4	1	3938.859993
0.84	0.8213552361	HBACK	3	F	B	3	2	797.51999998
4.64	0.4982888433	STNWG	3	M	C	5	1	353.76999998
2.99	0.3942505133	STNWG	3	M	D	2	1	367.72999954
1.549	0.9993155373	HBACK	1	F	B	4	1	2089.8999977
0.68	0.2737850787	STNWG	4	F	A	4	1	200
1.12	0.1067761807	HBACK	3	F	F	3	1	200
1.78	0.8651608487	HBACK	2	F	C	6	1	385.13818169
2.28	0.7611225188	HBACK	2	F	C	4	1	331.81999969
1.43	0.8213552361	HBACK	2	F	B	1	1	369.14999962
1.24	0.8624229979	SEDAN	3	F	D	4	1	399.53999996
3.38	0.1259411362	HDTOP	2	M	C	1	1	369.17999983
2.29	0.34770705	SEDAN	1	F	D	4	1	755.38999939
0.47	0.4818617385	SEDAN	4	M	A	1	1	200
1.33	0.605065024	SEDAN	3	F	C	5	1	797.13999939
1.28	0.4818617385	HBACK	2	F	E	3	1	1392.7899971
2.53	0.5639972621	SEDAN	1	M	C	6	1	200
0.44	0.5612594114	SEDAN	4	F	A	5	1	200
3.71	0.7364818617	STNWG	3	F	C	3	1	392.54999924
1.07	0.0739219713	STNWG	4	M	E	5	1	451
0.71	0.386036961	SEDAN	4	M	C	4	1	1975.8999977
1.349	0.8405201916	HBACK	1	M	C	5	2	886.09999418
1.39	0.5639972621	COUPE	3	F	A	3	1	1856.9199982
2.37	0.5612594114	HDTOP	2	F	C	2	1	200
1.76	0.4845995893	SEDAN	1	M	C	1	1	200
1.95	0.9555099247	UTE	3	F	D	5	1	6675.5799866
2.59	0.5065023956	SEDAN	3	M	A	5	1	200
1.88	0.5612594114	HBACK	1	M	B	4	1	792.62999916
1.71	0.0301163587	HBACK	2	F	E	6	1	14198.629974
1.45	0.9555099247	HBACK	3	M	A	4	1	1506.7599983
1.96	0.6023271732	STNWG	2	M	C	6	1	338.63999987
0.84	0.6023271732	HBACK	3	F	C	3	1	200
1.26	0.4188911704	STNWG	3	M	C	4	1	602.00999928
0.4	0.5338809035	SEDAN	4	F	D	6	1	631.81999969
4.07	0.8980150582	STNWG	2	M	C	3	2	1513.0899954
1.6	0.5941136208	SEDAN	3	M	A	5	1	1054
3.56	0.8514715948	STNWG	3	M	F	4	1	3608.0799942
1.77	0.8980150582	STNWG	4	F	F	3	1	3047.1399994
1.93	0.900752909	HDTOP	4	F	D	3	1	2733.8499908
1.96	0.2245037645	MIBUS	4	F	C	1	1	13504.309937
4.03	0.1040383299	STNWG	2	M	C	5	1	3180.9736328
0.44	0.8952772074	HBACK	4	F	B	3	1	467.22999954
1.15	0.5338809035	SEDAN	3	F	A	3	1	2090.9499969
2.15	0.900752909	STNWG	2	F	C	2	1	200
1.42	0.4818617385	HBACK	1	F	A	4	1	274.54999995
2.76	0.6351813826	STNWG	1	F	C	3	1	1623.1199989
0.54	0.9993155373	HBACK	4	F	B	4	1	970.59999847
1.31	0.8624229979	SEDAN	2	M	B	4	1	2512.6399994
2.52	0.2902121834	SEDAN	1	M	A	6	1	640.89999962
1.81	0.7665982204	STNWG	4	M	E	2	1	389.94999981
5.03	0.8432580424	STNWG	1	M	E	5	1	480
1.84	0.1752224504	HBACK	2	F	C	1	1	8078.0499878
4.23	0.4818617385	STNWG	2	F	D	2	1	389.94999981
1.68	0.848733744	STNWG	3	M	A	3	1	1863.6899986
1.37	0.8268309377	STNWG	4	M	A	3	1	2618.25
0.87	0.4216290212	HBACK	4	F	C	3	1	2899.1500015
2.06	0.848733744	STNWG	4	F	C	2	1	698.39999962
3.97	0.5585215606	STNWG	2	M	D	5	1	2588.5099945
0.91	0.5585215606	HBACK	3	M	A	4	1	3792.4499969
1.15	0.5585215606	SEDAN	3	M	C	3	1	200
1.45	0.9993155373	TRUCK	4	M	B	2	1	345
1.71	0.5174537988	SEDAN	4	F	C	4	1	369.14999962
1.05	0.295687885	HBACK	4	M	C	4	1	419.82000732
1.76	0.4818617385	SEDAN	2	M	C	2	1	699.03999996
1.97	0.1724845996	STNWG	4	M	A	2	1	200
1.87	0.4818617385	SEDAN	1	F	C	2	1	1716.6799965
0.65	0.2600958248	SEDAN	4	F	A	3	1	558.14999962
1.28	0.5229295003	HBACK	2	F	A	3	1	369.14999962
1.64	0.1533196441	SEDAN	3	M	C	3	1	14696.909973
0.88	0.5311430527	SEDAN	3	M	B	6	1	200
1.26	0.476386037	HBACK	2	M	C	2	1	367.72999954
5.49	0.5968514716	SEDAN	3	F	B	5	1	1497.6499977
0.95	0.8542094456	SEDAN	4	F	A	6	1	5912.9099884
1.06	0.1505817933	HBACK	4	F	C	2	1	200
1.25	0.5311430527	STNWG	4	F	E	2	1	2684.8999939
0.95	0.848733744	SEDAN	4	M	A	6	1	986.14999962
5.02	0.8542094456	STNWG	2	M	E	1	1	2643.6999969
1.34	0.5557837098	SEDAN	3	M	B	6	1	953.84999847
3.26	0.4435318275	UTE	2	M	B	5	1	290.90999913
1.84	0.9500342231	HBACK	1	F	C	5	1	1219.7199993
1.16	0.5557837098	SEDAN	3	F	B	5	1	1445.1799965
2.38	0.6872005476	SEDAN	2	F	E	5	1	484
2.67	0.8514715948	STNWG	2	F	A	4	1	200
0.54	0.0574948665	SEDAN	4	F	C	4	1	2207.329998
1.26	0.9993155373	HBACK	2	F	C	5	1	200
0.73	0.0821355236	SEDAN	4	F	C	4	1	3489.539978
0.7	0.6406570842	UTE	4	M	B	1	1	1940.5399971
1.51	0.1505817933	MIBUS	4	F	B	2	1	587.15999985
1.21	0.848733744	UTE	4	F	D	5	1	849.08999825
0.5	0.8542094456	HBACK	4	F	B	2	1	1247.1499977
0.81	0.605065024	HBACK	3	M	D	4	1	2583.5799942
2.51	0.8459958932	STNWG	3	M	B	3	1	353.79999971
1.58	0.8542094456	HBACK	3	F	C	5	1	200
2.2	0.8542094456	STNWG	3	F	B	3	4	6521.5499949
0.37	0.5284052019	SEDAN	4	M	A	4	2	1492.0999985
4.66	0.3586584531	STNWG	1	F	E	5	1	691.79999924
4.27	0.8514715948	STNWG	2	M	B	5	1	849.29999924
1	0.2245037645	HBACK	3	F	C	3	1	5415.3799896
2.02	0.8596851472	HDTOP	3	M	F	3	1	3723.6363602
1.15	0.2299794661	STNWG	4	M	E	2	1	20657.129944
4.49	0.3750855578	STNWG	1	M	C	5	1	558.89999962
0.92	0.7446954141	HBACK	3	F	A	4	1	353.76999998
0.92	0.5941136208	HBACK	3	F	A	4	1	1013.8399963
